full-name,short-name,symbol,slug,phone,fax,tty,email,cross-street,main-url,address1,address2,city,region,postal-code,floor,room,latitude,longitude
Harry Belafonte 115th Street Library,Harry Belafonte,HU,115th-street,(212) 666-9393,,,115st_branch@nypl.org,,https://www.nypl.org/locations/115th-street,203 West 115th Street,,New York,,10026,First Floor,,40.8028,-73.9532
125th Street Library,125th Street,HD,125th-street,(212) 534-5050,,,125st_branch@nypl.org,near Third Ave.,https://www.nypl.org/locations/125th-street,224 East 125th Street,,New York,,10035,First Floor,,40.8034,-73.9354
58th Street Library,58th Street,FE,58th-street,(212) 759-7358,,,58st_branch@nypl.org,between Park &amp; Lexington Aves.,https://www.nypl.org/locations/58th-street,127 East 58th Street,,New York,,10022,,,40.7619,-73.9691
67th Street Library,67th Street,SS,67th-street,(212) 734-1717,,(212) 794-3854,67st_branch@nypl.org,near First Ave.,https://www.nypl.org/locations/67th-street,328 East 67th Street,,New York,,10065,,,40.7652,-73.9601
96th Street Library,96th Street,NSR,96th-street,(212) 289-0908,,,96st_branch@nypl.org,near Lexington Ave.,https://www.nypl.org/locations/96th-street,112 East 96th Street,,New York,,10128,,,40.7863,-73.9522
Aguilar Library,Aguilar,AG,aguilar,(212) 534-2930,,,christinapark@nypl.org,between Lexington & Third Aves.,https://www.nypl.org/locations/aguilar,174 East 110th Street,,New York,,10029,,,40.7943,-73.9436
Allerton Library,Allerton,AL,allerton,(718) 881-4240,,,allerton@nypl.org,between Allerton & Arnow Aves.,https://www.nypl.org/locations/allerton,2740 Barnes Avenue,,Bronx,,10467,,,40.866,-73.8632
Andrew Heiskell Braille and Talking Book Library,Andrew Heiskell,LBL,heiskell,(212) 206-5400,,(212) 206-5458,talkingbooks@nypl.org,between 5th and 6th Aves.,https://www.nypl.org/locations/heiskell,40 West 20th Street,,New York,,10011,,,40.7404,-73.993
Baychester Library,Baychester,BAR,baychester,(718) 379-6700,,,baychester@nypl.org,north of Bartow Ave.,https://www.nypl.org/locations/baychester,2049 Asch Loop North,,Bronx,,10475,,,40.8711,-73.8305
Belmont Library and Enrico Fermi Cultural Center,Belmont,BER,belmont,(718) 933-6410,,,belmont@nypl.org,at Hughes Ave.,https://www.nypl.org/locations/belmont,610 E. 186th Street,,Bronx,,10458,First Floor,,40.8544,-73.8877
Bloomingdale Library,Bloomingdale,BLR,bloomingdale,(212) 222-8030,,,bloomingdale@nypl.org,between Amsterdam & Columbus Aves.,https://www.nypl.org/locations/bloomingdale,150 West 100th Street,,New York,,10025,,,40.796,-73.9671
Bronx Library Center,Bronx Library Center,BLC,bronx-library-center,(718) 579-4244,,(718) 579-4244,bronxlibrarycenter@nypl.org,at Briggs Avenue,https://www.nypl.org/locations/bronx-library-center,310 East Kingsbridge Road,,Bronx,,10458,,,40.8634,-73.8944
Castle Hill Library,Castle Hill,CT,castle-hill,(718) 824-3838,,,castle_hill@nypl.org,at Bruckner Blvd.,https://www.nypl.org/locations/castle-hill,947 Castle Hill Avenue,,Bronx,,10473,,,40.8264,-73.8499
