location code,2Digit,Sym,Branch Name General,Sierra Label - Branch Name,Location Type,Public,location lookup
ag,AG,AG,Aguilar Branch,Aguilar,Mixed Use,0,AG
aga,AG,AG,Aguilar Branch,Aguilar Adult,Mixed Use,1,AG
aga01,AG,AG,Aguilar Branch,Aguilar Reference,Mixed Use,0,AG
aga03,AG,AG,Aguilar Branch,Aguilar Closed Shelf Reference,Mixed Use,0,AG
aga0f,AG,AG,Aguilar Branch,Aguilar Fiction,Mixed Use,0,AG
aga0l,AG,AG,Aguilar Branch,Aguilar World Languages,Mixed Use,0,AG
aga0n,AG,AG,Aguilar Branch,Aguilar Non-Fiction,Mixed Use,0,AG
aga0v,AG,AG,Aguilar Branch,Aguilar Non-Print Media,Mixed Use,0,AG
aga0w,AG,AG,Aguilar Branch,Aguilar Center for Reading & Writing,Mixed Use,0,AG
agar,AG,AG,Aguilar Branch,Aguilar Adult Reference,Mixed Use,0,AG
agj,AG,AG,Aguilar Branch,Aguilar Children,Mixed Use,1,AG
agj01,AG,AG,Aguilar Branch,Aguilar Children's Reference,Mixed Use,0,AG
agj0a,AG,AG,Aguilar Branch,Aguilar Children's Easy Book,Mixed Use,0,AG
agj0f,AG,AG,Aguilar Branch,Aguilar Children's Fiction,Mixed Use,0,AG
agj0h,AG,AG,Aguilar Branch,Aguilar Children's Holiday Book,Mixed Use,0,AG
agj0i,AG,AG,Aguilar Branch,Aguilar Children's Picture Book,Mixed Use,0,AG
agj0l,AG,AG,Aguilar Branch,Aguilar Children's World Languages,Mixed Use,0,AG
agj0n,AG,AG,Aguilar Branch,Aguilar Children's Non-Fiction,Mixed Use,0,AG
agj0t,AG,AG,Aguilar Branch,Aguilar Children's Fairy Tale,Mixed Use,0,AG
agj0v,AG,AG,Aguilar Branch,Aguilar Children's Non-Print Media,Mixed Use,0,AG
agj0y,AG,AG,Aguilar Branch,Aguilar Children's Young Reader,Mixed Use,0,AG
agjr,AG,AG,Aguilar Branch,Aguilar Children's Reference,Mixed Use,0,AG
agy,AG,AG,Aguilar Branch,Aguilar Young Adult,Mixed Use,1,AG
agy01,AG,AG,Aguilar Branch,Aguilar YA Reference,Mixed Use,0,AG
agy0f,AG,AG,Aguilar Branch,Aguilar YA Fiction,Mixed Use,0,AG
agy0l,AG,AG,Aguilar Branch,Aguilar YA World Languages,Mixed Use,0,AG
agy0n,AG,AG,Aguilar Branch,Aguilar YA Non-Fiction,Mixed Use,0,AG
agy0v,AG,AG,Aguilar Branch,Aguilar YA Non-Print Media,Mixed Use,0,AG
agyr,AG,AG,Aguilar Branch,Aguilar Young Adult Reference,Mixed Use,0,AG
agzzz,AG,AG,Aguilar Branch,Aguilar (error code),Mixed Use,0,AG
al,AL,AL,Allerton Branch,Allerton,Mixed Use,0,AL
ala,AL,AL,Allerton Branch,Allerton Adult,Mixed Use,1,AL
ala01,AL,AL,Allerton Branch,Allerton Reference,Mixed Use,0,AL
ala03,AL,AL,Allerton Branch,Allerton Closed Shelf Reference,Mixed Use,0,AL
ala0f,AL,AL,Allerton Branch,Allerton Fiction,Mixed Use,0,AL
ala0l,AL,AL,Allerton Branch,Allerton World Languages,Mixed Use,0,AL
ala0n,AL,AL,Allerton Branch,Allerton Non-Fiction,Mixed Use,0,AL
ala0v,AL,AL,Allerton Branch,Allerton Non-Print Media,Mixed Use,0,AL
alar,AL,AL,Allerton Branch,Allerton Adult Reference,Mixed Use,0,AL
alj,AL,AL,Allerton Branch,Allerton Children,Mixed Use,1,AL
alj01,AL,AL,Allerton Branch,Allerton Children's Reference,Mixed Use,0,AL
alj0a,AL,AL,Allerton Branch,Allerton Children's Easy Book,Mixed Use,0,AL
alj0f,AL,AL,Allerton Branch,Allerton Children's Fiction,Mixed Use,0,AL
alj0h,AL,AL,Allerton Branch,Allerton Children's Holiday Book,Mixed Use,0,AL
alj0i,AL,AL,Allerton Branch,Allerton Children's Picture Book,Mixed Use,0,AL
alj0l,AL,AL,Allerton Branch,Allerton Children's World Languages,Mixed Use,0,AL
alj0n,AL,AL,Allerton Branch,Allerton Children's Non-Fiction,Mixed Use,0,AL
alj0t,AL,AL,Allerton Branch,Allerton Children's Fairy Tale,Mixed Use,0,AL
alj0v,AL,AL,Allerton Branch,Allerton Children's Non-Print Media,Mixed Use,0,AL
alj0y,AL,AL,Allerton Branch,Allerton Children's Young Reader,Mixed Use,0,AL
aljr,AL,AL,Allerton Branch,Allerton Children's Reference,Mixed Use,0,AL
aly,AL,AL,Allerton Branch,Allerton Young Adult,Mixed Use,1,AL
aly01,AL,AL,Allerton Branch,Allerton YA Reference,Mixed Use,0,AL
aly0f,AL,AL,Allerton Branch,Allerton YA Fiction,Mixed Use,0,AL
